Address:,USB0::0x0957::0x179B::MY54313431::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313431,,-0.25625,-0.00330402032705024,-0.022768835304305,
Firmware Version:,02.65.2021030741,,-0.25520833334,-0.00342964846640825,-0.0252813980914652,
Start Time:,2023-06-04 14:35:05.380,,-0.25416666668,-0.00342964846640825,-0.0252813980914652,
,,,-0.25312500002,-0.00330402032705024,-0.0240251166978851,
Analog Sample Count:,960,,-0.25208333336,-0.00342964846640825,-0.0240251166978851,
Function Sample Count:,0,,-0.2510416667,-0.00330402032705024,-0.0240251166978851,
Waveform Memory Sample Count:,0,,-0.25000000004,-0.00330402032705024,-0.0240251166978851,
Digital Sample Count:,0,,-0.24895833338,-0.00330402032705024,-0.0240251166978851,
,,,-0.24791666672,-0.00330402032705024,-0.0240251166978851,
Setup Text Information:,,,-0.24687500006,-0.00330402032705024,-0.0240251166978851,
ANALOG,,,-0.2458333334,-0.00330402032705024,-0.0240251166978851,
Channel 1,,,-0.24479166674,-0.00330402032705024,-0.0240251166978851,
Scale,50 mV/,,-0.24375000008,-0.00330402032705024,-0.022768835304305,
Pos,-17.5 mV,,-0.24270833342,-0.00330402032705024,-0.0240251166978851,
Coup,,,-0.24166666676,-0.00330402032705024,-0.0240251166978851,
BW,Off,,-0.2406250001,-0.00330402032705024,-0.0252813980914652,
Inv,Off,,-0.23958333344,-0.00330402032705024,-0.0240251166978851,
Imp,1M Ohm,,-0.23854166678,-0.00330402032705024,-0.0240251166978851,
Trace Label,1,,-0.23750000012,-0.00330402032705024,-0.0240251166978851,
Probe,1,,-0.23645833346,-0.00342964846640825,-0.0240251166978851,
Skew,0 s,,-0.2354166668,-0.00330402032705024,-0.0240251166978851,
,,,-0.23437500014,-0.00330402032705024,-0.0252813980914652,
Channel 2,,,-0.23333333348,-0.00330402032705024,-0.0240251166978851,
Scale,500 mV/,,-0.23229166682,-0.00330402032705024,-0.0240251166978851,
Pos,231 mV,,-0.23125000016,-0.00330402032705024,-0.022768835304305,
Coup,,,-0.2302083335,-0.00330402032705024,-0.0240251166978851,
BW,Off,,-0.22916666684,-0.00330402032705024,-0.0240251166978851,
Inv,Off,,-0.22812500018,-0.00330402032705024,-0.0240251166978851,
Imp,1M Ohm,,-0.22708333352,-0.00330402032705024,-0.0240251166978851,
Trace Label,2,,-0.22604166686,-0.00330402032705024,-0.0252813980914652,
Probe,1,,-0.2250000002,-0.00330402032705024,-0.0240251166978851,
Skew,0 s,,-0.22395833354,-0.00330402032705024,-0.0240251166978851,
,,,-0.22291666688,-0.00330402032705024,-0.0240251166978851,
MATH,,,-0.22187500022,-0.00317839218769223,-0.0240251166978851,
REFERENCE WAVEFORM,,,-0.22083333356,-0.00330402032705024,-0.0240251166978851,
TRIGGER,,,-0.2197916669,-0.00330402032705024,-0.0240251166978851,
Sweep Mode,AUTO,,-0.21875000024,-0.00330402032705024,-0.022768835304305,
Coup,DC,,-0.21770833358,-0.00317839218769223,-0.022768835304305,
Noise Rej,Off,,-0.21666666692,-0.00317839218769223,-0.0240251166978851,
HF Rej,Off,,-0.21562500026,-0.00317839218769223,-0.0240251166978851,
Holdoff,40.0 ns,,-0.2145833336,-0.00317839218769223,-0.0240251166978851,
Mode,GLIT,,-0.21354166694,-0.00317839218769223,-0.0240251166978851,
Source,CHAN1,,-0.21250000028,-0.00330402032705024,-0.022768835304305,
Slope,POS,,-0.21145833362,-0.00317839218769223,-0.0240251166978851,
Level,-5.2 mV V,,-0.21041666696,-0.00317839218769223,-0.0240251166978851,
,,,-0.2093750003,-0.00317839218769223,-0.0240251166978851,
HORIZONTAL,,,-0.20833333364,-0.00317839218769223,-0.0240251166978851,
Mode,MAIN,,-0.20729166698,-0.00317839218769223,-0.0240251166978851,
Ref,CENT,,-0.20625000032,-0.00317839218769223,-0.022768835304305,
Main Scale,100 ms/,,-0.20520833366,-0.00317839218769223,-0.0240251166978851,
Main Delay,244 ms,,-0.204166667,-0.00317839218769223,-0.0240251166978851,
,,,-0.20312500034,-0.00317839218769223,-0.0240251166978851,
ACQUISITION,,,-0.20208333368,-0.00317839218769223,-0.0240251166978851,
Mode,HRES,,-0.20104166702,-0.00317839218769223,-0.0240251166978851,
RealTime,On,,-0.20000000036,-0.00317839218769223,-0.0240251166978851,
Vectors,On,,-0.1989583337,-0.00317839218769223,-0.0240251166978851,
Persistence,Off,,-0.19791666704,-0.00305276404833421,-0.0240251166978851,
,,,-0.19687500038,-0.00317839218769223,-0.0240251166978851,
,,,-0.19583333372,-0.00305276404833421,-0.022768835304305,
,,,-0.19479166706,-0.00317839218769223,-0.0240251166978851,
,,,-0.1937500004,-0.00305276404833421,-0.0240251166978851,
,,,-0.19270833374,-0.00305276404833421,-0.0240251166978851,
,,,-0.19166666708,-0.00305276404833421,-0.0240251166978851,
,,,-0.19062500042,-0.00317839218769223,-0.0240251166978851,
,,,-0.18958333376,-0.00305276404833421,-0.0240251166978851,
,,,-0.1885416671,-0.00305276404833421,-0.0240251166978851,
,,,-0.18750000044,-0.00305276404833421,-0.0240251166978851,
,,,-0.18645833378,-0.00305276404833421,-0.0240251166978851,
